text,category
Why is my refund not visible on my statement?,Refund_not_showing_up
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,card_payment_wrong_exchange_rate
Please help me.  I am still waiting on a refund.,Refund_not_showing_up
"I transferred money to a receiver within the EU and they received a lesser amount than expected.  Now I will have to send additional money to the receiver in order to make up the difference.  I'm not sure what went wrong, can you please advise?",transfer_fee_charged
I need more money in my account. Can I add more by transferring?,transfer_into_account
Is there a  way to  get around fees,card_payment_fee_charged
I ordered my card but it hasn't been delivered yet,card_arrival
"If I was travelling abroad, would I be able to hold currencies in euros?",fiat_currency_support
I need help with understanding why my card is not working.,card_not_working
What is the formula for your exchange rate?,exchange_rate
"I can't transfer any money from my account to my friend's account, it keeps rejecting it. Can you tell me why? I have enough funds in my account to transfer.",failed_transfer
"I'm looking in the App and can't find my PIN, where should I look?",get_physical_card
"I need to exchange my GBP to AUD, how would I do this?",exchange_via_app
"I blocked my card by mistake, how do I unblock it?",pin_blocked
How can I reset my passcode?,passcode_forgotten
I have a cash withdrawal that I don't recognize.,cash_withdrawal_not_recognised
What can I use to verify my identity?,verify_my_identity
"Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet.",pending_transfer
"I have checked the account information several times to be sure that it is correct, but the in country transfer I did a few days ago still has not appeared! What is the hold up?",transfer_not_received_by_recipient
I'd like to know what the foreign exchange rate will be.,exchange_rate
Do you deliver the PIN separately?,get_physical_card
"Now that I have my card, how do I connect it to the app?",card_linking
Can I get a Visa from you?,visa_or_mastercard
I bought something and already paid for it but now I don't see it.,reverted_card_payment?
What does it mean if my payment is pending?,pending_card_payment
I got cash and the exchange rate should have been different than it ended up being.,wrong_exchange_rate_for_cash_withdrawal
"Hi, I just looked at my card transactions and saw that I've been charged twice for a restaurant I went to this week. Can you remove the double charge, please?",transaction_charged_twice
What is the number of transactions I get with a disposable card?,disposable_card_limits
How do I reactivate my card?,card_linking
What are my limits on disposable cards?,disposable_card_limits
I went to do a transfer and it was declined.,declined_transfer
What currencies do you accept to add money?,supported_cards_and_currencies
What businesses can I use this card with?,card_acceptance
"I got my American Express in Apple Pay, why is top up not working on my device?",apple_pay_or_google_pay
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,card_linking
"I am getting an error stating my transfer is not possible while transferring money. Let me know the issue as its the first time i am getting error, earlier it used to work.",beneficiary_not_allowed
Is there an additional charge to exchange currencies?,exchange_charge
I'm wondering how long it takes for my money to get to me after a bank transfer.,balance_not_updated_after_bank_transfer
"I found my card in my jacket this morning, so can I reactivate it?",card_linking
Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account?,lost_or_stolen_phone
There was a direct debit I don't recognize.,direct_debit_payment_not_recognised
Where can I locate my PIN at?,get_physical_card
Why won't my card work.,card_not_working
Can I use my card while on vacation overseas?,card_acceptance
What number of times can I top-up?,top_up_limits
What are the charges for topping up US card?,top_up_by_card_charge
Tell me what ATMs use this card.,atm_support
"How can I close my account, I don't want it.",terminate_account
Can you explain your exchange rates basis?,exchange_rate
"I tried to top up, but the funds show up as pending. I thought it was instant?",pending_top_up
How can you assist on verifying my identity?,verify_my_identity
What currencies can I have?,fiat_currency_support
I see a direct debit that I didn't authorize,direct_debit_payment_not_recognised
What is the closest ATM?,atm_support
Why am I being asked to verify my identity?,why_verify_identity
"Hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your ATMs. I did not had any clue about the horrible charges otherwise i would not have withdrawn.",wrong_exchange_rate_for_cash_withdrawal
Why aren't my payment funds available to me?,pending_card_payment
is a transfer to a beneficiary allowed?,beneficiary_not_allowed
Why is there a payment I didn't do?,card_payment_not_recognised
What went wrong with my transfer?,declined_transfer
"I need to set up an account for my daughter, how would I do that?",age_limit
Will this app allow me to exchange currencies?,exchange_via_app
I live in the EU - can I get a card?,country_support
if i found a lost card can i put it back in app,card_linking
I haven't received my PIN yet. Do I need to get it from you?,get_physical_card
I was charged extra. Was the exchange rate for my payment last Saturday wrong?,card_payment_wrong_exchange_rate
There is a pending 1£ charge on my statement.  I haven't purchased anything for 1£.  Why is it on my statement?,extra_charge_on_statement
How will I get my card?,card_delivery_estimate
What is the maximum I can top up?,top_up_limits
How do I order a new card if my current one is about to expire?,card_about_to_expire
Transferring money using credit card,topping_up_by_card
I have an unusual payment in my statement,card_payment_not_recognised
I did a money transaction and dont have a receipt,transfer_not_received_by_recipient
Can I top up online?,top_up_by_cash_or_cheque
Looking at my account I've noticed a charge that appears to still be in progress. I had attempted to get money out of the machine earlier but the machine seemed to have been broken. I never received my money so will you please look into this for me? I don't want to be charged for money I never actually received.,pending_cash_withdrawal
Can I open an account for my children?,age_limit
I need to make my card PIN a different number,change_pin
Is there a top up fee for transfer?,top_up_by_bank_transfer_charge
